               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.061608,             0.13402,          0.00035086,              0.7041,             0.50957,             0.52586,             0.16413,            0.045497,            0.037652,          0.00070057,            0.005248,            0.005248,            0.005248
                 146,            0.060438,             0.15409,          0.00081866,             0.70616,             0.51485,             0.52236,             0.16337,            0.046695,            0.038296,          0.00047903,            0.005215,            0.005215,            0.005215
                 147,            0.058899,             0.11473,          0.00043345,             0.71515,             0.52583,             0.52142,             0.16617,            0.047152,            0.037943,          0.00088291,            0.005182,            0.005182,            0.005182
                 148,            0.064656,             0.12952,          0.00045636,             0.71205,             0.53739,             0.53542,             0.17199,            0.047323,            0.039136,           0.0006413,            0.005149,            0.005149,            0.005149
                 149,            0.062206,             0.12382,          0.00032146,             0.66934,             0.52531,             0.50274,              0.1527,            0.048146,            0.040109,          0.00069734,            0.005116,            0.005116,            0.005116
                 150,            0.062158,             0.10255,           0.0015067,             0.69983,             0.50763,             0.52382,             0.16357,            0.047668,            0.039109,           0.0010659,            0.005083,            0.005083,            0.005083
                 151,             0.05951,             0.13571,          0.00073918,             0.68151,             0.49902,             0.49915,             0.15648,            0.046627,            0.037867,           0.0017464,             0.00505,             0.00505,             0.00505
                 152,            0.060996,             0.12239,          0.00090046,             0.69481,             0.52048,             0.50921,             0.15733,            0.045858,            0.037077,           0.0013004,            0.005017,            0.005017,            0.005017
                 153,            0.058506,              0.1418,          0.00070454,             0.70566,             0.51084,             0.52115,             0.16444,            0.045624,            0.038121,          0.00096952,            0.004984,            0.004984,            0.004984
                 154,            0.058423,             0.14778,          0.00031673,             0.71887,             0.53445,             0.54645,             0.17504,            0.044251,            0.038511,          0.00071942,            0.004951,            0.004951,            0.004951
                 155,            0.059928,             0.12196,           0.0010555,             0.71759,             0.51888,             0.53336,             0.16332,            0.045277,            0.037612,          0.00070716,            0.004918,            0.004918,            0.004918
                 156,             0.05915,             0.12748,          0.00044455,              0.7049,             0.52853,             0.53044,             0.17047,            0.047413,            0.037314,           0.0007232,            0.004885,            0.004885,            0.004885
                 157,            0.060513,             0.11604,           0.0014902,             0.73311,             0.50638,             0.53788,             0.17875,            0.046368,            0.038123,          0.00062031,            0.004852,            0.004852,            0.004852
                 158,            0.057481,             0.14365,          0.00037995,             0.68961,              0.5113,             0.52385,             0.17098,            0.046599,            0.038725,          0.00059217,            0.004819,            0.004819,            0.004819
                 159,            0.058119,             0.13967,           0.0005646,             0.69979,             0.50674,             0.50842,             0.16414,            0.047106,            0.038719,          0.00063428,            0.004786,            0.004786,            0.004786
                 160,            0.062054,             0.11984,          0.00034471,             0.70108,             0.51044,             0.51044,             0.16712,            0.046713,            0.038981,          0.00083153,            0.004753,            0.004753,            0.004753
